firstName,lastName,emailAddress,active
MARY,SMITH,MARY.SMITH@sakilacustomer.org,1
PATRICIA,JOHNSON,PATRICIA.JOHNSON@sakilacustomer.org,1
LINDA,WILLIAMS,LINDA.WILLIAMS@sakilacustomer.org,1
BARBARA,JONES,BARBARA.JONES@sakilacustomer.org,1
ELIZABETH,BROWN,ELIZABETH.BROWN@sakilacustomer.org,1
JENNIFER,DAVIS,JENNIFER.DAVIS@sakilacustomer.org,1
MARIA,MILLER,MARIA.MILLER@sakilacustomer.org,1
SUSAN,WILSON,SUSAN.WILSON@sakilacustomer.org,1
MARGARET,MOORE,MARGARET.MOORE@sakilacustomer.org,1
DOROTHY,TAYLOR,DOROTHY.TAYLOR@sakilacustomer.org,1
LISA,ANDERSON,LISA.ANDERSON@sakilacustomer.org,1
NANCY,THOMAS,NANCY.THOMAS@sakilacustomer.org,1
KAREN,JACKSON,KAREN.JACKSON@sakilacustomer.org,1
BETTY,WHITE,BETTY.WHITE@sakilacustomer.org,1
HELEN,HARRIS,HELEN.HARRIS@sakilacustomer.org,1
SANDRA,MARTIN,SANDRA.MARTIN@sakilacustomer.org,0
DONNA,THOMPSON,DONNA.THOMPSON@sakilacustomer.org,1
CAROL,GARCIA,CAROL.GARCIA@sakilacustomer.org,1
RUTH,MARTINEZ,RUTH.MARTINEZ@sakilacustomer.org,1
SHARON,ROBINSON,SHARON.ROBINSON@sakilacustomer.org,1
MICHELLE,CLARK,MICHELLE.CLARK@sakilacustomer.org,1
LAURA,RODRIGUEZ,LAURA.RODRIGUEZ@sakilacustomer.org,1
SARAH,LEWIS,SARAH.LEWIS@sakilacustomer.org,1
KIMBERLY,LEE,KIMBERLY.LEE@sakilacustomer.org,1
DEBORAH,WALKER,DEBORAH.WALKER@sakilacustomer.org,1
JESSICA,HALL,JESSICA.HALL@sakilacustomer.org,1
SHIRLEY,ALLEN,SHIRLEY.ALLEN@sakilacustomer.org,1
CYNTHIA,YOUNG,CYNTHIA.YOUNG@sakilacustomer.org,1
ANGELA,HERNANDEZ,ANGELA.HERNANDEZ@sakilacustomer.org,1
MELISSA,KING,MELISSA.KING@sakilacustomer.org,1
BRENDA,WRIGHT,BRENDA.WRIGHT@sakilacustomer.org,1
AMY,LOPEZ,AMY.LOPEZ@sakilacustomer.org,1
